ID,age,sex,X1.hole_bin_collect,X2.smalltree_bin_collect,X3.bigtree_bin_honey,X4.basket_collect,X5.smokytorch_honey,6.doka_fishing,X7.firewood_cooking,X8.fishtrap_fishing,_X9.gun_hunting,X10.spear_hunting,X11.koko_cooking,X12.jabuka_cooking,X13.mbila_cooking,X14.butcheranimal_cooking,X15.butcherfish_cooking,X16.fishpoison_fishing,X17.nethunt_hunting,X18.climbigtree_honey,X20.pendi_honey,X21.garden_collect,X23.kombi_fishing,X19.traps_hunting,X4.basketvine_explicit,X18.climbingvine_explicit,X24.honey_sum,animal_sum_explicit,plant_sum_explicit,bin_max,collect_total,collect_offset,hunting_total,hunting_offset,honey_total,offset_honey,cooking_total,offset_cooking,explicit_total,offset_explicit,culture
1120,35,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,3,3,3,5,8,10,19,8,8,3,45,8,15,6,6,24,40,BaYaka
1121,25,0,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1,1,0,0,1,1,1,0,4,3,5,8,10,19,8,8,2,45,7,15,6,6,25,40,BaYaka
1122,25,1,1,1,1,1,1,1,1,0,8,4,1,1,1,1,1,1,1,1,1,1,1,7,3,5,11,11,9,19,7,8,20,45,15,15,6,6,28,40,BaYaka
1123,55,1,1,1,1,1,1,1,1,1,6,4,0,1,1,1,1,1,1,1,1,1,1,7,3,6,8,10,9,19,8,8,18,45,12,15,5,6,28,40,BaYaka
2024,45,1,1,1,1,0,1,1,1,0,9,4,0,1,0,1,1,1,1,1,1,1,1,5,3,4,4,10,8,19,6,8,19,45,8,15,4,6,25,42,BaYaka
2025,45,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,2,2,5,8,9,19,8,8,1,45,7,15,6,6,21,42,BaYaka
2034,35,1,1,1,1,1,1,1,1,1,10,4,1,1,1,1,1,1,1,1,1,1,1,3,2,4,6,7,10,19,8,8,18,45,10,15,6,6,23,42,BaYaka
2035,35,0,1,1,0,1,1,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,4,10,19,8,8,8,45,5,15,6,6,19,42,BaYaka
2508,14,1,0,1,1,0,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,5,0,3,6,6,9,19,6,8,13,45,10,15,6,6,18,42,BaYaka
2524,12,1,1,1,0,0,1,1,1,1,0,3,1,1,1,1,1,1,0,1,1,1,1,0,4,5,5,3,10,19,7,8,3,45,8,15,6,6,22,42,BaYaka
2526,14,1,1,1,1,0,1,1,1,0,4,2,0,1,1,1,1,1,1,1,1,1,1,1,4,4,4,7,9,19,6,8,8,45,8,15,5,6,24,42,BaYaka
2583,14,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,6,4,19,4,8,0,45,0,15,6,6,11,42,BaYaka
2585,14,1,1,1,1,0,1,1,1,1,7,6,1,1,1,1,1,1,1,1,1,1,1,3,3,4,6,9,10,19,7,8,17,45,10,15,6,6,26,42,BaYaka
2587,18,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,4,3,6,6,10,19,8,8,0,45,9,15,6,6,23,42,BaYaka
2588,13,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2,2,4,5,7,8,19,4,8,2,45,8,15,3,6,21,42,BaYaka
2594,14,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,5,3,9,7,7,12,19,8,8,14,45,11,15,6,6,31,42,BaYaka
2596,16,0,1,1,0,0,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,3,2,4,5,12,19,7,8,10,45,7,15,6,6,22,42,BaYaka
2599,17,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,9,9,19,8,8,16,45,6,15,6,6,22,42,BaYaka
2600,17,1,1,1,0,0,0,1,1,0,9,1,1,0,1,1,1,1,1,1,1,1,1,2,3,4,5,9,11,19,6,8,13,45,7,15,5,6,27,42,BaYaka
2604,35,1,1,1,1,0,1,1,1,0,8,6,0,1,1,1,1,1,1,1,1,1,1,5,2,4,3,8,9,19,6,8,20,45,7,15,5,6,23,42,BaYaka
2607,35,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,3,2,4,6,9,19,7,8,1,45,7,15,6,6,20,42,BaYaka
2608,65,1,1,1,1,0,1,1,1,1,0,6,1,0,1,1,1,1,1,1,1,1,1,5,1,3,5,4,8,19,7,8,12,45,9,15,5,6,16,42,BaYaka
2609,35,1,1,1,1,1,1,1,1,1,10,3,1,1,1,1,1,1,1,1,1,1,1,4,2,3,6,10,12,19,8,8,18,45,10,15,6,6,27,42,BaYaka
2610,35,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,6,3,3,4,7,10,19,8,8,17,45,8,15,6,6,23,42,BaYaka
2612,65,1,1,1,1,0,1,1,1,1,6,3,0,1,1,1,1,1,1,1,1,1,1,7,2,3,4,9,6,19,7,8,17,45,8,15,5,6,20,42,BaYaka
2613,35,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,2,0,2,5,8,19,7,8,0,45,3,15,6,6,15,42,BaYaka
2623,35,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,2,2,2,7,9,19,6,8,0,45,2,15,6,6,20,42,BaYaka
2655,65,0,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,0,2,2,4,6,12,19,8,8,10,45,8,15,6,6,22,42,BaYaka
2656,25,0,1,1,0,1,1,1,1,1,0,3,1,1,1,1,1,1,0,0,1,1,1,0,3,3,4,5,11,19,8,8,3,45,6,15,6,6,22,42,BaYaka
2658,35,0,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,5,3,4,6,6,10,19,8,8,24,45,10,15,6,6,23,42,BaYaka
2660,35,1,1,1,1,1,1,1,1,1,9,6,1,1,1,1,1,1,1,1,1,1,1,5,4,5,6,4,12,19,8,8,21,45,10,15,6,6,25,42,BaYaka
2661,18,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,7,3,1,6,8,5,19,6,8,7,45,8,15,6,6,17,42,BaYaka
2663,35,1,1,1,1,1,1,1,1,1,8,6,1,1,1,1,1,1,1,1,1,1,1,7,3,5,4,12,9,19,8,8,22,45,8,15,6,6,29,42,BaYaka
2664,16,1,1,1,1,0,1,1,1,0,10,1,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,8,5,19,6,8,14,45,6,15,4,6,17,42,BaYaka
2666,55,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,5,13,19,6,8,1,45,4,15,6,6,20,42,BaYaka
2667,35,0,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,4,1,4,3,3,12,19,8,8,14,45,7,15,6,6,20,42,BaYaka
2668,35,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,2,0,4,8,12,19,6,8,0,45,4,15,6,6,22,42,BaYaka
2673,45,1,1,1,1,1,1,1,1,1,26,5,1,1,1,1,1,1,1,1,1,1,1,7,2,4,8,8,12,19,8,8,39,45,12,15,6,6,26,42,BaYaka
2678,35,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,NA,9,3,2,3,10,12,19,7,7,10,45,5,15,6,6,27,42,BaYaka
2899,25,1,1,1,1,0,1,1,1,1,7,3,1,0,1,1,1,1,1,1,1,1,1,5,2,4,4,10,13,19,7,8,16,45,8,15,5,6,29,42,BaYaka
2999,25,0,1,1,0,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,7,9,19,8,8,15,45,6,15,6,6,19,42,BaYaka
